,Aggravated assault,Burglary,Counties/principal cities,Larceny,Motor vehicle theft,Murder and nonnegligent manslaughter,Population,Property crime,Rape,Robbery,Violent crime,counties,msa_label,msa_pop,year
42,2234.0,2070.0,Total area actually reporting,11413.0,2143.0,28.0,100.0,15626.0,548.0,709.0,3519.0,Includes Anchorage Municipality and Matanuska-Susitna Borough,"Anchorage, AK M.S.A.",315641,2016
43,707.8,655.8,"Rate per 100,000 inhabitants",3615.8,678.9,8.9,,4950.6,173.6,224.6,1114.9,Includes Anchorage Municipality and Matanuska-Susitna Borough,"Anchorage, AK M.S.A.",315641,2016
44,125.0,242.0,City of Ann Arbor,1697.0,112.0,1.0,117688.0,2051.0,44.0,43.0,213.0,Includes Washtenaw County,"Ann Arbor, MI M.S.A.",361440,2016
45,769.0,921.0,Total area actually reporting,4597.0,438.0,2.0,100.0,5956.0,190.0,186.0,1147.0,Includes Washtenaw County,"Ann Arbor, MI M.S.A.",361440,2016
46,212.8,254.8,"Rate per 100,000 inhabitants",1271.9,121.2,0.6,,1647.9,52.6,51.5,317.3,Includes Washtenaw County,"Ann Arbor, MI M.S.A.",361440,2016
47,602.0,712.0,City of Anniston,888.0,112.0,7.0,22205.0,1712.0,39.0,87.0,735.0,Includes Calhoun County,"Anniston-Oxford-Jacksonville, AL M.S.A.",114790,2016
48,56.0,127.0,City of Oxford,615.0,21.0,0.0,17066.0,763.0,0.0,7.0,63.0,Includes Calhoun County,"Anniston-Oxford-Jacksonville, AL M.S.A.",114790,2016
49,101.0,140.0,City of Jacksonville,335.0,26.0,0.0,12150.0,501.0,6.0,16.0,123.0,Includes Calhoun County,"Anniston-Oxford-Jacksonville, AL M.S.A.",114790,2016
50,833.0,1263.0,Total area actually reporting,2298.0,182.0,8.0,99.3,3743.0,59.0,123.0,1023.0,Includes Calhoun County,"Anniston-Oxford-Jacksonville, AL M.S.A.",114790,2016
51,836.0,1268.0,Estimated total,2316.0,184.0,8.0,100.0,3768.0,59.0,124.0,1027.0,Includes Calhoun County,"Anniston-Oxford-Jacksonville, AL M.S.A.",114790,2016
52,728.3,1104.6,"Rate per 100,000 inhabitants",2017.6,160.3,7.0,,3282.5,51.4,108.0,894.7,Includes Calhoun County,"Anniston-Oxford-Jacksonville, AL M.S.A.",114790,2016
53,156.0,175.0,City of Appleton,1080.0,39.0,2.0,74439.0,1294.0,30.0,20.0,208.0,Includes Calumet and Outagamie Counties,"Appleton, WI M.S.A.",234069,2016
54,259.0,404.0,Total area actually reporting,2605.0,101.0,4.0,100.0,3110.0,60.0,31.0,354.0,Includes Calumet and Outagamie Counties,"Appleton, WI M.S.A.",234069,2016
55,110.7,172.6,"Rate per 100,000 inhabitants",1112.9,43.1,1.7,,1328.7,25.6,13.2,151.2,Includes Calumet and Outagamie Counties,"Appleton, WI M.S.A.",234069,2016
56,335.0,752.0,City of Asheville,3345.0,260.0,10.0,89546.0,4357.0,48.0,144.0,537.0,"Includes Buncombe, Haywood, Henderson, and Madison Counties","Asheville, NC M.S.A.3",451305,2016
57,713.0,,Total area actually reporting,6866.0,722.0,23.0,99.5,,98.0,245.0,1079.0,"Includes Buncombe, Haywood, Henderson, and Madison Counties","Asheville, NC M.S.A.3",451305,2016
58,717.0,,Estimated total,6918.0,725.0,23.0,100.0,,98.0,247.0,1085.0,"Includes Buncombe, Haywood, Henderson, and Madison Counties","Asheville, NC M.S.A.3",451305,2016
59,158.9,,"Rate per 100,000 inhabitants",1532.9,160.6,5.1,,,21.7,54.7,240.4,"Includes Buncombe, Haywood, Henderson, and Madison Counties","Asheville, NC M.S.A.3",451305,2016
60,313.0,822.0,City of Athens-Clarke County,3054.0,224.0,4.0,123934.0,4100.0,53.0,163.0,533.0,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties","Athens-Clarke County, GA M.S.A.",205004,2016
61,440.0,1145.0,Total area actually reporting,4301.0,311.0,6.0,100.0,5757.0,78.0,176.0,700.0,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties","Athens-Clarke County, GA M.S.A.",205004,2016
62,214.6,558.5,"Rate per 100,000 inhabitants",2098.0,151.7,2.9,,2808.2,38.0,85.9,341.5,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties","Athens-Clarke County, GA M.S.A.",205004,2016
63,2804.0,4411.0,City of Atlanta,16400.0,3993.0,111.0,472579.0,24804.0,136.0,2070.0,5121.0,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
64,34.0,532.0,City of Sandy Springs,2091.0,214.0,3.0,107685.0,2837.0,14.0,66.0,117.0,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
65,76.0,228.0,City of Roswell,1391.0,83.0,2.0,95684.0,1702.0,23.0,42.0,143.0,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
66,9.0,135.0,City of Alpharetta,1129.0,44.0,1.0,64943.0,1308.0,5.0,20.0,35.0,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
67,103.0,307.0,City of Marietta,1825.0,150.0,1.0,59516.0,2282.0,12.0,117.0,233.0,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
68,13171.0,33252.0,Total area actually reporting,121238.0,18553.0,395.0,99.7,173043.0,1385.0,8324.0,23275.0,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
69,13213.0,33364.0,Estimated total,121651.0,18605.0,396.0,100.0,173620.0,1390.0,8346.0,23345.0,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
70,228.2,576.2,"Rate per 100,000 inhabitants",2100.8,321.3,6.8,,2998.3,24.0,144.1,403.2,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
71,163.0,203.0,City of Auburn,844.0,78.0,4.0,63871.0,1125.0,12.0,31.0,210.0,Includes Lee County,"Auburn-Opelika, AL M.S.A",160071,2016
72,161.0,233.0,City of Opelika,1158.0,85.0,7.0,30180.0,1476.0,18.0,35.0,221.0,Includes Lee County,"Auburn-Opelika, AL M.S.A",160071,2016
73,744.0,885.0,Total area actually reporting,2959.0,293.0,22.0,100.0,4137.0,56.0,94.0,916.0,Includes Lee County,"Auburn-Opelika, AL M.S.A",160071,2016
74,464.8,552.9,"Rate per 100,000 inhabitants",1848.6,183.0,13.7,,2584.5,35.0,58.7,572.2,Includes Lee County,"Auburn-Opelika, AL M.S.A",160071,2016
75,1278.0,3644.0,Total area actually reporting,13931.0,1179.0,44.0,99.9,18754.0,214.0,503.0,2039.0,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC","Augusta-Richmond County, GA-SC M.S.A.",595180,2016
76,1279.0,3645.0,Estimated total,13937.0,1179.0,44.0,100.0,18761.0,214.0,503.0,2040.0,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC","Augusta-Richmond County, GA-SC M.S.A.",595180,2016
77,214.9,612.4,"Rate per 100,000 inhabitants",2341.6,198.1,7.4,,3152.2,36.0,84.5,342.8,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC","Augusta-Richmond County, GA-SC M.S.A.",595180,2016
78,2065.0,5232.0,City of Austin,26125.0,2188.0,39.0,956911.0,33545.0,751.0,1048.0,3903.0,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties","Austin-Round Rock, TX M.S.A.",2054651,2016
79,98.0,303.0,City of Round Rock,2270.0,80.0,0.0,119308.0,2653.0,31.0,44.0,173.0,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties","Austin-Round Rock, TX M.S.A.",2054651,2016
80,3849.0,8665.0,Total area actually reporting,40428.0,3391.0,70.0,99.9,52484.0,1180.0,1411.0,6510.0,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties","Austin-Round Rock, TX M.S.A.",2054651,2016
81,3850.0,8668.0,Estimated total,40441.0,3392.0,70.0,100.0,52501.0,1180.0,1411.0,6511.0,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties","Austin-Round Rock, TX M.S.A.",2054651,2016
82,187.4,421.9,"Rate per 100,000 inhabitants",1968.3,165.1,3.4,,2555.2,57.4,68.7,316.9,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties","Austin-Round Rock, TX M.S.A.",2054651,2016
83,1108.0,3887.0,City of Bakersfield,10203.0,3048.0,32.0,378788.0,17138.0,67.0,614.0,1821.0,Includes Kern County,"Bakersfield, CA M.S.A.",884443,2016
84,3567.0,8351.0,Total area actually reporting,17742.0,6477.0,88.0,100.0,32570.0,307.0,1166.0,5128.0,Includes Kern County,"Bakersfield, CA M.S.A.",884443,2016
85,403.3,944.2,"Rate per 100,000 inhabitants",2006.0,732.3,9.9,,3682.5,34.7,131.8,579.8,Includes Kern County,"Bakersfield, CA M.S.A.",884443,2016
86,5157.0,7375.0,City of Baltimore,16855.0,5317.0,318.0,618385.0,29547.0,299.0,5236.0,11010.0,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City","Baltimore-Columbia-Towson, MD M.S.A.",2797991,2016
87,10826.0,14986.0,Total area actually reporting,54549.0,8541.0,395.0,100.0,78076.0,909.0,7743.0,19873.0,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City","Baltimore-Columbia-Towson, MD M.S.A.",2797991,2016
88,386.9,535.6,"Rate per 100,000 inhabitants",1949.6,305.3,14.1,,2790.4,32.5,276.7,710.3,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City","Baltimore-Columbia-Towson, MD M.S.A.",2797991,2016
89,30.0,180.0,City of Bangor,1123.0,37.0,0.0,32264.0,1340.0,15.0,30.0,75.0,Includes Penobscot County,"Bangor, ME M.S.A.",152658,2016
90,62.0,584.0,Total area actually reporting,2296.0,84.0,0.0,100.0,2964.0,43.0,41.0,146.0,Includes Penobscot County,"Bangor, ME M.S.A.",152658,2016
91,40.6,382.6,"Rate per 100,000 inhabitants",1504.0,55.0,0.0,,1941.6,28.2,26.9,95.6,Includes Penobscot County,"Bangor, ME M.S.A.",152658,2016
92,167.0,133.0,City of Barnstable,558.0,20.0,1.0,43974.0,711.0,16.0,15.0,199.0,Includes Barnstable County,"Barnstable Town, MA M.S.A.4",213081,2016
93,,850.0,Total area actually reporting,2346.0,133.0,1.0,100.0,3329.0,73.0,35.0,,Includes Barnstable County,"Barnstable Town, MA M.S.A.4",213081,2016
94,,398.9,"Rate per 100,000 inhabitants",1101.0,62.4,0.5,,1562.3,34.3,16.4,,Includes Barnstable County,"Barnstable Town, MA M.S.A.4",213081,2016
95,1149.0,2364.0,City of Baton Rouge,6907.0,663.0,47.0,228389.0,9934.0,123.0,824.0,2143.0,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes","Baton Rouge, LA M.S.A.",833146,2016
96,2675.0,5994.0,Total area actually reporting,20831.0,1404.0,79.0,99.7,28229.0,278.0,1166.0,4198.0,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes","Baton Rouge, LA M.S.A.",833146,2016
97,2682.0,6008.0,Estimated total,20894.0,1408.0,79.0,100.0,28310.0,279.0,1167.0,4207.0,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes","Baton Rouge, LA M.S.A.",833146,2016
98,321.9,721.1,"Rate per 100,000 inhabitants",2507.8,169.0,9.5,,3398.0,33.5,140.1,505.0,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes","Baton Rouge, LA M.S.A.",833146,2016
99,444.0,607.0,City of Battle Creek,1629.0,89.0,3.0,60904.0,2325.0,83.0,64.0,594.0,Includes Calhoun County,"Battle Creek, MI M.S.A",133914,2016
100,726.0,1065.0,Total area actually reporting,2979.0,161.0,7.0,100.0,4205.0,178.0,89.0,1000.0,Includes Calhoun County,"Battle Creek, MI M.S.A",133914,2016
101,542.1,795.3,"Rate per 100,000 inhabitants",2224.6,120.2,5.2,,3140.1,132.9,66.5,746.7,Includes Calhoun County,"Battle Creek, MI M.S.A",133914,2016
102,129.0,291.0,City of Bay City,600.0,34.0,1.0,33725.0,925.0,50.0,25.0,205.0,Includes Bay County,"Bay City, MI M.S.A.",105209,2016
103,245.0,505.0,Total area actually reporting,1358.0,87.0,3.0,100.0,1950.0,109.0,32.0,389.0,Includes Bay County,"Bay City, MI M.S.A.",105209,2016
104,232.9,480.0,"Rate per 100,000 inhabitants",1290.8,82.7,2.9,,1853.5,103.6,30.4,369.7,Includes Bay County,"Bay City, MI M.S.A.",105209,2016
105,837.0,1460.0,City of Beaumont,3299.0,306.0,14.0,118283.0,5065.0,86.0,379.0,1316.0,"Includes Hardin, Jefferson, Newton, and Orange Counties","Beaumont-Port Arthur, TX M.S.A.2",408167,2016
106,234.0,580.0,City of Port Arthur,1123.0,126.0,5.0,55510.0,1829.0,18.0,105.0,362.0,"Includes Hardin, Jefferson, Newton, and Orange Counties","Beaumont-Port Arthur, TX M.S.A.2",408167,2016
107,1541.0,3034.0,Total area actually reporting,7111.0,834.0,27.0,97.1,10979.0,167.0,573.0,2308.0,"Includes Hardin, Jefferson, Newton, and Orange Counties","Beaumont-Port Arthur, TX M.S.A.2",408167,2016
108,1563.0,3083.0,Estimated total,7246.0,856.0,27.0,100.0,11185.0,171.0,581.0,2342.0,"Includes Hardin, Jefferson, Newton, and Orange Counties","Beaumont-Port Arthur, TX M.S.A.2",408167,2016
109,382.9,755.3,"Rate per 100,000 inhabitants",1775.3,209.7,6.6,,2740.3,41.9,142.3,573.8,"Includes Hardin, Jefferson, Newton, and Orange Counties","Beaumont-Port Arthur, TX M.S.A.2",408167,2016
110,159.0,246.0,City of Beckley,984.0,48.0,3.0,16940.0,1278.0,14.0,38.0,214.0,Includes Fayette and Raleigh Counties,"Beckley, WV M.S.A",121287,2016
111,388.0,836.0,Total area actually reporting,2161.0,147.0,12.0,95.7,3144.0,34.0,57.0,491.0,Includes Fayette and Raleigh Counties,"Beckley, WV M.S.A",121287,2016
112,399.0,865.0,Estimated total,2301.0,157.0,12.0,100.0,3323.0,36.0,59.0,506.0,Includes Fayette and Raleigh Counties,"Beckley, WV M.S.A",121287,2016
113,329.0,713.2,"Rate per 100,000 inhabitants",1897.2,129.4,9.9,,2739.8,29.7,48.6,417.2,Includes Fayette and Raleigh Counties,"Beckley, WV M.S.A",121287,2016
114,116.0,751.0,City of Bellingham,3709.0,283.0,0.0,86005.0,4743.0,61.0,47.0,224.0,Includes Whatcom County,"Bellingham, WA M.S.A",215331,2016
115,286.0,1388.0,Total area actually reporting,5182.0,427.0,4.0,100.0,6997.0,124.0,69.0,483.0,Includes Whatcom County,"Bellingham, WA M.S.A",215331,2016
116,132.8,644.6,"Rate per 100,000 inhabitants",2406.5,198.3,1.9,,3249.4,57.6,32.0,224.3,Includes Whatcom County,"Bellingham, WA M.S.A",215331,2016
117,59.0,178.0,City of Bend,1740.0,92.0,0.0,89244.0,2010.0,17.0,20.0,96.0,Includes Deschutes County,"Bend-Redmond, OR M.S.A.",180071,2016
118,57.0,84.0,City of Redmond,801.0,88.0,1.0,29164.0,973.0,13.0,9.0,80.0,Includes Deschutes County,"Bend-Redmond, OR M.S.A.",180071,2016
119,194.0,438.0,Total area actually reporting,3229.0,242.0,2.0,100.0,3909.0,47.0,30.0,273.0,Includes Deschutes County,"Bend-Redmond, OR M.S.A.",180071,2016
120,107.7,243.2,"Rate per 100,000 inhabitants",1793.2,134.4,1.1,,2170.8,26.1,16.7,151.6,Includes Deschutes County,"Bend-Redmond, OR M.S.A.",180071,2016
121,372.0,723.0,City of Billings,3698.0,795.0,0.0,111447.0,5216.0,61.0,81.0,514.0,"Includes Carbon, Golden Valley, and Yellowstone Counties","Billings, MT M.S.A.",170245,2016
122,467.0,912.0,Total area actually reporting,4316.0,913.0,3.0,99.7,6141.0,79.0,92.0,641.0,"Includes Carbon, Golden Valley, and Yellowstone Counties","Billings, MT M.S.A.",170245,2016
123,468.0,913.0,Estimated total,4329.0,914.0,3.0,100.0,6156.0,79.0,92.0,642.0,"Includes Carbon, Golden Valley, and Yellowstone Counties","Billings, MT M.S.A.",170245,2016
124,274.9,536.3,"Rate per 100,000 inhabitants",2542.8,536.9,1.8,,3616.0,46.4,54.0,377.1,"Includes Carbon, Golden Valley, and Yellowstone Counties","Billings, MT M.S.A.",170245,2016
