,Aggravated assault,Burglary,Counties/principal cities,Forcible rape,Larceny- theft,Larceny-theft,Larcenyâ€‘ theft,Motor vehicle theft,Murder and nonnegligent manslaughter,Population,Property crime,Rape 1,Robbery,Violent crime,counties,msa_label,msa_pop,year
25,748.5,1271.2,"Rate per 100,000 inhabitants",,3111.7,,,314.9,7.8,,4697.7,50,116.9,923.2,Includes Grant and Rapides Parishes,"Alexandria, LA M.S.A.",154032,2016
26,213,668,"City of Allentown, PA",,2387,,,282,10,120615,3337,55,274,552,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA","Allentown-Bethlehem-Easton, PA-NJ M.S.A.3, 4",831770,2016
27,,213,"City of Bethlehem, PA3",,1226,,,48,4,74869,1487,21,58,,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA","Allentown-Bethlehem-Easton, PA-NJ M.S.A.3, 4",831770,2016
28,,2195,Total area actually reporting,,,,,739,22,99.6,,160,483,,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA","Allentown-Bethlehem-Easton, PA-NJ M.S.A.3, 4",831770,2016
29,,2202,Estimated total,,,,,741,22,100,,161,485,,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA","Allentown-Bethlehem-Easton, PA-NJ M.S.A.3, 4",831770,2016
30,,264.7,"Rate per 100,000 inhabitants",,,,,89.1,2.6,,,19.4,58.3,,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA","Allentown-Bethlehem-Easton, PA-NJ M.S.A.3, 4",831770,2016
31,95,169,City of Altoona,,619,,,33,1,45158,821,23,37,156,Includes Blair County,"Altoona, PA M.S.A.",124942,2016
32,179,238,Total area actually reporting,,1405,,,55,1,100,1698,40,46,266,Includes Blair County,"Altoona, PA M.S.A.",124942,2016
33,143.3,190.5,"Rate per 100,000 inhabitants",,1124.5,,,44,0.8,,1359,32,36.8,212.9,Includes Blair County,"Altoona, PA M.S.A.",124942,2016
34,981,1797,City of Amarillo,,6756,,,919,11,200141,9472,162,260,1414,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties","Amarillo, TX M.S.A.2",263223,2016
35,1089,2004,Total area actually reporting,,7321,,,1027,14,100,10352,188,269,1560,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties","Amarillo, TX M.S.A.2",263223,2016
36,413.7,761.3,"Rate per 100,000 inhabitants",,2781.3,,,390.2,5.3,,3932.8,71.4,102.2,592.7,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties","Amarillo, TX M.S.A.2",263223,2016
37,52,164,City of Ames,,867,,,46,1,66333,1077,39,15,107,Includes Story County,"Ames, IA M.S.A.",97202,2016
38,73,235,Total area actually reporting,,1203,,,79,1,93,1517,51,16,141,Includes Story County,"Ames, IA M.S.A.",97202,2016
39,86,262,Estimated total,,1293,,,85,1,100,1640,54,17,158,Includes Story County,"Ames, IA M.S.A.",97202,2016
40,88.5,269.5,"Rate per 100,000 inhabitants",,1330.2,,,87.4,1,,1687.2,55.6,17.5,162.5,Includes Story County,"Ames, IA M.S.A.",97202,2016
41,2157,2008,City of Anchorage,,10599,,,2042,28,299097,14649,542,695,3422,Includes Anchorage Municipality and Matanuska-Susitna Borough,"Anchorage, AK M.S.A.",315641,2016
42,2234,2070,Total area actually reporting,,11413,,,2143,28,100,15626,548,709,3519,Includes Anchorage Municipality and Matanuska-Susitna Borough,"Anchorage, AK M.S.A.",315641,2016
43,707.8,655.8,"Rate per 100,000 inhabitants",,3615.8,,,678.9,8.9,,4950.6,173.6,224.6,1114.9,Includes Anchorage Municipality and Matanuska-Susitna Borough,"Anchorage, AK M.S.A.",315641,2016
44,125,242,City of Ann Arbor,,1697,,,112,1,117688,2051,44,43,213,Includes Washtenaw County,"Ann Arbor, MI M.S.A.",361440,2016
45,769,921,Total area actually reporting,,4597,,,438,2,100,5956,190,186,1147,Includes Washtenaw County,"Ann Arbor, MI M.S.A.",361440,2016
46,212.8,254.8,"Rate per 100,000 inhabitants",,1271.9,,,121.2,0.6,,1647.9,52.6,51.5,317.3,Includes Washtenaw County,"Ann Arbor, MI M.S.A.",361440,2016
47,602,712,City of Anniston,,888,,,112,7,22205,1712,39,87,735,Includes Calhoun County,"Anniston-Oxford-Jacksonville, AL M.S.A.",114790,2016
48,56,127,City of Oxford,,615,,,21,0,17066,763,0,7,63,Includes Calhoun County,"Anniston-Oxford-Jacksonville, AL M.S.A.",114790,2016
49,101,140,City of Jacksonville,,335,,,26,0,12150,501,6,16,123,Includes Calhoun County,"Anniston-Oxford-Jacksonville, AL M.S.A.",114790,2016
50,833,1263,Total area actually reporting,,2298,,,182,8,99.3,3743,59,123,1023,Includes Calhoun County,"Anniston-Oxford-Jacksonville, AL M.S.A.",114790,2016
51,836,1268,Estimated total,,2316,,,184,8,100,3768,59,124,1027,Includes Calhoun County,"Anniston-Oxford-Jacksonville, AL M.S.A.",114790,2016
52,728.3,1104.6,"Rate per 100,000 inhabitants",,2017.6,,,160.3,7,,3282.5,51.4,108,894.7,Includes Calhoun County,"Anniston-Oxford-Jacksonville, AL M.S.A.",114790,2016
53,156,175,City of Appleton,,1080,,,39,2,74439,1294,30,20,208,Includes Calumet and Outagamie Counties,"Appleton, WI M.S.A.",234069,2016
54,259,404,Total area actually reporting,,2605,,,101,4,100,3110,60,31,354,Includes Calumet and Outagamie Counties,"Appleton, WI M.S.A.",234069,2016
55,110.7,172.6,"Rate per 100,000 inhabitants",,1112.9,,,43.1,1.7,,1328.7,25.6,13.2,151.2,Includes Calumet and Outagamie Counties,"Appleton, WI M.S.A.",234069,2016
56,335,752,City of Asheville,,3345,,,260,10,89546,4357,48,144,537,"Includes Buncombe, Haywood, Henderson, and Madison Counties","Asheville, NC M.S.A.3",451305,2016
57,713,,Total area actually reporting,,6866,,,722,23,99.5,,98,245,1079,"Includes Buncombe, Haywood, Henderson, and Madison Counties","Asheville, NC M.S.A.3",451305,2016
58,717,,Estimated total,,6918,,,725,23,100,,98,247,1085,"Includes Buncombe, Haywood, Henderson, and Madison Counties","Asheville, NC M.S.A.3",451305,2016
59,158.9,,"Rate per 100,000 inhabitants",,1532.9,,,160.6,5.1,,,21.7,54.7,240.4,"Includes Buncombe, Haywood, Henderson, and Madison Counties","Asheville, NC M.S.A.3",451305,2016
60,313,822,City of Athens-Clarke County,,3054,,,224,4,123934,4100,53,163,533,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties","Athens-Clarke County, GA M.S.A.",205004,2016
61,440,1145,Total area actually reporting,,4301,,,311,6,100,5757,78,176,700,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties","Athens-Clarke County, GA M.S.A.",205004,2016
62,214.6,558.5,"Rate per 100,000 inhabitants",,2098,,,151.7,2.9,,2808.2,38,85.9,341.5,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties","Athens-Clarke County, GA M.S.A.",205004,2016
63,2804,4411,City of Atlanta,,16400,,,3993,111,472579,24804,136,2070,5121,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
64,34,532,City of Sandy Springs,,2091,,,214,3,107685,2837,14,66,117,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
65,76,228,City of Roswell,,1391,,,83,2,95684,1702,23,42,143,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
66,9,135,City of Alpharetta,,1129,,,44,1,64943,1308,5,20,35,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
67,103,307,City of Marietta,,1825,,,150,1,59516,2282,12,117,233,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
68,13171,33252,Total area actually reporting,,121238,,,18553,395,99.7,173043,1385,8324,23275,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
69,13213,33364,Estimated total,,121651,,,18605,396,100,173620,1390,8346,23345,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
70,228.2,576.2,"Rate per 100,000 inhabitants",,2100.8,,,321.3,6.8,,2998.3,24,144.1,403.2,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties","Atlanta-Sandy Springs-Roswell, GA M.S.A.",5790619,2016
71,163,203,City of Auburn,,844,,,78,4,63871,1125,12,31,210,Includes Lee County,"Auburn-Opelika, AL M.S.A",160071,2016
72,161,233,City of Opelika,,1158,,,85,7,30180,1476,18,35,221,Includes Lee County,"Auburn-Opelika, AL M.S.A",160071,2016
73,744,885,Total area actually reporting,,2959,,,293,22,100,4137,56,94,916,Includes Lee County,"Auburn-Opelika, AL M.S.A",160071,2016
74,464.8,552.9,"Rate per 100,000 inhabitants",,1848.6,,,183,13.7,,2584.5,35,58.7,572.2,Includes Lee County,"Auburn-Opelika, AL M.S.A",160071,2016
75,1278,3644,Total area actually reporting,,13931,,,1179,44,99.9,18754,214,503,2039,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC","Augusta-Richmond County, GA-SC M.S.A.",595180,2016
76,1279,3645,Estimated total,,13937,,,1179,44,100,18761,214,503,2040,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC","Augusta-Richmond County, GA-SC M.S.A.",595180,2016
77,214.9,612.4,"Rate per 100,000 inhabitants",,2341.6,,,198.1,7.4,,3152.2,36,84.5,342.8,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC","Augusta-Richmond County, GA-SC M.S.A.",595180,2016
78,2065,5232,City of Austin,,26125,,,2188,39,956911,33545,751,1048,3903,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties","Austin-Round Rock, TX M.S.A.",2054651,2016
79,98,303,City of Round Rock,,2270,,,80,0,119308,2653,31,44,173,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties","Austin-Round Rock, TX M.S.A.",2054651,2016
80,3849,8665,Total area actually reporting,,40428,,,3391,70,99.9,52484,1180,1411,6510,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties","Austin-Round Rock, TX M.S.A.",2054651,2016
81,3850,8668,Estimated total,,40441,,,3392,70,100,52501,1180,1411,6511,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties","Austin-Round Rock, TX M.S.A.",2054651,2016
82,187.4,421.9,"Rate per 100,000 inhabitants",,1968.3,,,165.1,3.4,,2555.2,57.4,68.7,316.9,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties","Austin-Round Rock, TX M.S.A.",2054651,2016
83,1108,3887,City of Bakersfield,,10203,,,3048,32,378788,17138,67,614,1821,Includes Kern County,"Bakersfield, CA M.S.A.",884443,2016
84,3567,8351,Total area actually reporting,,17742,,,6477,88,100,32570,307,1166,5128,Includes Kern County,"Bakersfield, CA M.S.A.",884443,2016
85,403.3,944.2,"Rate per 100,000 inhabitants",,2006,,,732.3,9.9,,3682.5,34.7,131.8,579.8,Includes Kern County,"Bakersfield, CA M.S.A.",884443,2016
86,5157,7375,City of Baltimore,,16855,,,5317,318,618385,29547,299,5236,11010,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City","Baltimore-Columbia-Towson, MD M.S.A.",2797991,2016
87,10826,14986,Total area actually reporting,,54549,,,8541,395,100,78076,909,7743,19873,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City","Baltimore-Columbia-Towson, MD M.S.A.",2797991,2016
88,386.9,535.6,"Rate per 100,000 inhabitants",,1949.6,,,305.3,14.1,,2790.4,32.5,276.7,710.3,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City","Baltimore-Columbia-Towson, MD M.S.A.",2797991,2016
89,30,180,City of Bangor,,1123,,,37,0,32264,1340,15,30,75,Includes Penobscot County,"Bangor, ME M.S.A.",152658,2016
90,62,584,Total area actually reporting,,2296,,,84,0,100,2964,43,41,146,Includes Penobscot County,"Bangor, ME M.S.A.",152658,2016
91,40.6,382.6,"Rate per 100,000 inhabitants",,1504,,,55,0,,1941.6,28.2,26.9,95.6,Includes Penobscot County,"Bangor, ME M.S.A.",152658,2016
92,167,133,City of Barnstable,,558,,,20,1,43974,711,16,15,199,Includes Barnstable County,"Barnstable Town, MA M.S.A.4",213081,2016
93,,850,Total area actually reporting,,2346,,,133,1,100,3329,73,35,,Includes Barnstable County,"Barnstable Town, MA M.S.A.4",213081,2016
94,,398.9,"Rate per 100,000 inhabitants",,1101,,,62.4,0.5,,1562.3,34.3,16.4,,Includes Barnstable County,"Barnstable Town, MA M.S.A.4",213081,2016
95,1149,2364,City of Baton Rouge,,6907,,,663,47,228389,9934,123,824,2143,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes","Baton Rouge, LA M.S.A.",833146,2016
96,2675,5994,Total area actually reporting,,20831,,,1404,79,99.7,28229,278,1166,4198,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes","Baton Rouge, LA M.S.A.",833146,2016
97,2682,6008,Estimated total,,20894,,,1408,79,100,28310,279,1167,4207,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes","Baton Rouge, LA M.S.A.",833146,2016
98,321.9,721.1,"Rate per 100,000 inhabitants",,2507.8,,,169,9.5,,3398,33.5,140.1,505,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes","Baton Rouge, LA M.S.A.",833146,2016
99,444,607,City of Battle Creek,,1629,,,89,3,60904,2325,83,64,594,Includes Calhoun County,"Battle Creek, MI M.S.A",133914,2016
100,726,1065,Total area actually reporting,,2979,,,161,7,100,4205,178,89,1000,Includes Calhoun County,"Battle Creek, MI M.S.A",133914,2016
101,542.1,795.3,"Rate per 100,000 inhabitants",,2224.6,,,120.2,5.2,,3140.1,132.9,66.5,746.7,Includes Calhoun County,"Battle Creek, MI M.S.A",133914,2016
102,129,291,City of Bay City,,600,,,34,1,33725,925,50,25,205,Includes Bay County,"Bay City, MI M.S.A.",105209,2016
103,245,505,Total area actually reporting,,1358,,,87,3,100,1950,109,32,389,Includes Bay County,"Bay City, MI M.S.A.",105209,2016
104,232.9,480,"Rate per 100,000 inhabitants",,1290.8,,,82.7,2.9,,1853.5,103.6,30.4,369.7,Includes Bay County,"Bay City, MI M.S.A.",105209,2016
105,837,1460,City of Beaumont,,3299,,,306,14,118283,5065,86,379,1316,"Includes Hardin, Jefferson, Newton, and Orange Counties","Beaumont-Port Arthur, TX M.S.A.2",408167,2016
106,234,580,City of Port Arthur,,1123,,,126,5,55510,1829,18,105,362,"Includes Hardin, Jefferson, Newton, and Orange Counties","Beaumont-Port Arthur, TX M.S.A.2",408167,2016
107,1541,3034,Total area actually reporting,,7111,,,834,27,97.1,10979,167,573,2308,"Includes Hardin, Jefferson, Newton, and Orange Counties","Beaumont-Port Arthur, TX M.S.A.2",408167,2016
108,1563,3083,Estimated total,,7246,,,856,27,100,11185,171,581,2342,"Includes Hardin, Jefferson, Newton, and Orange Counties","Beaumont-Port Arthur, TX M.S.A.2",408167,2016
109,382.9,755.3,"Rate per 100,000 inhabitants",,1775.3,,,209.7,6.6,,2740.3,41.9,142.3,573.8,"Includes Hardin, Jefferson, Newton, and Orange Counties","Beaumont-Port Arthur, TX M.S.A.2",408167,2016
110,159,246,City of Beckley,,984,,,48,3,16940,1278,14,38,214,Includes Fayette and Raleigh Counties,"Beckley, WV M.S.A",121287,2016
111,388,836,Total area actually reporting,,2161,,,147,12,95.7,3144,34,57,491,Includes Fayette and Raleigh Counties,"Beckley, WV M.S.A",121287,2016
112,399,865,Estimated total,,2301,,,157,12,100,3323,36,59,506,Includes Fayette and Raleigh Counties,"Beckley, WV M.S.A",121287,2016
113,329,713.2,"Rate per 100,000 inhabitants",,1897.2,,,129.4,9.9,,2739.8,29.7,48.6,417.2,Includes Fayette and Raleigh Counties,"Beckley, WV M.S.A",121287,2016
114,116,751,City of Bellingham,,3709,,,283,0,86005,4743,61,47,224,Includes Whatcom County,"Bellingham, WA M.S.A",215331,2016
115,286,1388,Total area actually reporting,,5182,,,427,4,100,6997,124,69,483,Includes Whatcom County,"Bellingham, WA M.S.A",215331,2016
116,132.8,644.6,"Rate per 100,000 inhabitants",,2406.5,,,198.3,1.9,,3249.4,57.6,32,224.3,Includes Whatcom County,"Bellingham, WA M.S.A",215331,2016
117,59,178,City of Bend,,1740,,,92,0,89244,2010,17,20,96,Includes Deschutes County,"Bend-Redmond, OR M.S.A.",180071,2016
118,57,84,City of Redmond,,801,,,88,1,29164,973,13,9,80,Includes Deschutes County,"Bend-Redmond, OR M.S.A.",180071,2016
119,194,438,Total area actually reporting,,3229,,,242,2,100,3909,47,30,273,Includes Deschutes County,"Bend-Redmond, OR M.S.A.",180071,2016
120,107.7,243.2,"Rate per 100,000 inhabitants",,1793.2,,,134.4,1.1,,2170.8,26.1,16.7,151.6,Includes Deschutes County,"Bend-Redmond, OR M.S.A.",180071,2016
121,372,723,City of Billings,,3698,,,795,0,111447,5216,61,81,514,"Includes Carbon, Golden Valley, and Yellowstone Counties","Billings, MT M.S.A.",170245,2016
122,467,912,Total area actually reporting,,4316,,,913,3,99.7,6141,79,92,641,"Includes Carbon, Golden Valley, and Yellowstone Counties","Billings, MT M.S.A.",170245,2016
123,468,913,Estimated total,,4329,,,914,3,100,6156,79,92,642,"Includes Carbon, Golden Valley, and Yellowstone Counties","Billings, MT M.S.A.",170245,2016
124,274.9,536.3,"Rate per 100,000 inhabitants",,2542.8,,,536.9,1.8,,3616,46.4,54,377.1,"Includes Carbon, Golden Valley, and Yellowstone Counties","Billings, MT M.S.A.",170245,2016
125,215,436,City of Binghamton,,1306,,,102,4,45780,1844,41,93,353,Includes Broome and Tioga Counties,"Binghamton, NY M.S.A.",243328,2016
126,398,1066,Total area actually reporting,,3890,,,209,6,99.7,5165,153,146,703,Includes Broome and Tioga Counties,"Binghamton, NY M.S.A.",243328,2016
127,399,1068,Estimated total,,3900,,,209,6,100,5177,153,146,704,Includes Broome and Tioga Counties,"Binghamton, NY M.S.A.",243328,2016
128,164,438.9,"Rate per 100,000 inhabitants",,1602.8,,,85.9,2.5,,2127.6,62.9,60,289.3,Includes Broome and Tioga Counties,"Binghamton, NY M.S.A.",243328,2016
129,146,468,City of Bismarck,,1715,,,289,2,73248,2472,35,29,212,"Includes Burleigh, Morton, Oliver, and Sioux Counties","Bismarck, ND M.S.A.",129489,2016
130,281,704,Total area actually reporting,,2523,,,449,3,100,3676,62,34,380,"Includes Burleigh, Morton, Oliver, and Sioux Counties","Bismarck, ND M.S.A.",129489,2016
131,217,543.7,"Rate per 100,000 inhabitants",,1948.4,,,346.7,2.3,,2838.9,47.9,26.3,293.5,"Includes Burleigh, Morton, Oliver, and Sioux Counties","Bismarck, ND M.S.A.",129489,2016
132,21,62,City of Blacksburg,,333,,,14,0,44528,409,19,3,43,"Includes Floyd, Giles, Montgomery, and Pulaski Counties and Radford City","Blacksburg-Christiansburg-Radford, VA M.S.A.",181407,2016
133,20,62,City of Christiansburg,,505,,,8,0,22134,575,12,3,35,"Includes Floyd, Giles, Montgomery, and Pulaski Counties and Radford City","Blacksburg-Christiansburg-Radford, VA M.S.A.",181407,2016
134,52,60,City of Radford,,244,,,12,1,17504,316,22,8,83,"Includes Floyd, Giles, Montgomery, and Pulaski Counties and Radford City","Blacksburg-Christiansburg-Radford, VA M.S.A.",181407,2016
135,212,470,Total area actually reporting,,2474,,,107,5,100,3051,115,27,359,"Includes Floyd, Giles, Montgomery, and Pulaski Counties and Radford City","Blacksburg-Christiansburg-Radford, VA M.S.A.",181407,2016
136,116.9,259.1,"Rate per 100,000 inhabitants",,1363.8,,,59,2.8,,1681.9,63.4,14.9,197.9,"Includes Floyd, Giles, Montgomery, and Pulaski Counties and Radford City","Blacksburg-Christiansburg-Radford, VA M.S.A.",181407,2016
137,206,224,City of Bloomington,,1064,,,59,0,78604,1347,42,59,307,Includes DeWitt and McLean Counties,"Bloomington, IL M.S.A.",189092,2016
138,320,464,Total area actually reporting,,2163,,,93,3,94.7,2720,89,91,503,Includes DeWitt and McLean Counties,"Bloomington, IL M.S.A.",189092,2016
139,332,491,Estimated total,,2297,,,102,3,100,2890,92,97,524,Includes DeWitt and McLean Counties,"Bloomington, IL M.S.A.",189092,2016
140,175.6,259.7,"Rate per 100,000 inhabitants",,1214.8,,,53.9,1.6,,1528.4,48.7,51.3,277.1,Includes DeWitt and McLean Counties,"Bloomington, IL M.S.A.",189092,2016
